id,filename,item,itemtext,type,relevance,count,year,sentiment,anger,fear,joy,sadness,disgust
65,"/home/jdellaria/Desktop/UNGA Speeches/2016/MNG_71.txt.nlu.json",Concepts,Terrorism,NULL,0.249363,0,2016,0,0,0,0,0,0
68,"/home/jdellaria/Desktop/UNGA Speeches/2016/MNG_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.378654,0,2016,0,0,0,0,0,0
279,"/home/jdellaria/Desktop/UNGA Speeches/2016/DNK_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.355501,0,2016,0,0,0,0,0,0
380,"/home/jdellaria/Desktop/UNGA Speeches/2016/BGD_71.txt.nlu.json",Concepts,Terrorism,NULL,0.853869,0,2016,0,0,0,0,0,0
399,"/home/jdellaria/Desktop/UNGA Speeches/2016/BGD_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.635843,0,2016,0,0,0,0,0,0
461,"/home/jdellaria/Desktop/UNGA Speeches/2016/BHR_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.46086,0,2016,0,0,0,0,0,0
492,"/home/jdellaria/Desktop/UNGA Speeches/2016/BHR_71.txt.nlu.json",Keyword,"terrorist organizations",NULL,0.669363,0,2016,-0.683918,0.340933,0.331986,0.009983,0.167122,0.559912
586,"/home/jdellaria/Desktop/UNGA Speeches/2016/BRB_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.473442,0,2016,0,0,0,0,0,0
691,"/home/jdellaria/Desktop/UNGA Speeches/2016/VCT_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.503712,0,2016,0,0,0,0,0,0
797,"/home/jdellaria/Desktop/UNGA Speeches/2016/GHA_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.455223,0,2016,0,0,0,0,0,0
843,"/home/jdellaria/Desktop/UNGA Speeches/2016/NGA_71.txt.nlu.json",Concepts,Terrorism,NULL,0.565879,0,2016,0,0,0,0,0,0
857,"/home/jdellaria/Desktop/UNGA Speeches/2016/NGA_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.542084,0,2016,0,0,0,0,0,0
912,"/home/jdellaria/Desktop/UNGA Speeches/2016/LBN_71.txt.nlu.json",Concepts,Terrorism,NULL,0.39107,0,2016,0,0,0,0,0,0
919,"/home/jdellaria/Desktop/UNGA Speeches/2016/LBN_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.615615,0,2016,0,0,0,0,0,0
982,"/home/jdellaria/Desktop/UNGA Speeches/2016/BRA_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.373296,0,2016,0,0,0,0,0,0
1103,"/home/jdellaria/Desktop/UNGA Speeches/2016/HUN_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.456912,0,2016,0,0,0,0,0,0
1159,"/home/jdellaria/Desktop/UNGA Speeches/2016/BGR_71.txt.nlu.json",Concepts,Terrorism,NULL,0.326639,0,2016,0,0,0,0,0,0
1165,"/home/jdellaria/Desktop/UNGA Speeches/2016/BGR_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.386125,0,2016,0,0,0,0,0,0
1199,"/home/jdellaria/Desktop/UNGA Speeches/2016/BGR_71.txt.nlu.json",Keyword,"counter terrorism",NULL,0.611385,0,2016,0.716619,0.120159,0.167568,0.158961,0.497758,0.212346
1336,"/home/jdellaria/Desktop/UNGA Speeches/2016/BWA_71.txt.nlu.json",Categories,"/law, govt and politics/espionage and intelligence/terrorism",NULL,0.339495,0,2016,0,0,0,0,0,0
1438,"/home/jdellaria/Desktop/UNGA Speeches/2016/TUR_71.txt.nlu.json",Concepts,Terrorism,NULL,0.585553,0,2016,0,0,0,0,0,0
1467,"/home/jdellaria/Desktop/UNGA Speeches/2016/TUR_71.txt.nlu.json",Entities,"Fethullahist Terrorist Organization",Organization,0.308781,0,2016,0,0.230367,0.169166,0.018988,0.142845,0.181444
1472,"/home/jdellaria/Desktop/UNGA Speeches/2016/TUR_71.txt.nlu.json",Entities,"Fethullah Terrorist Organization",Organization,0.263344,0,2016,-0.519308,0.338123,0.401299,0.003476,0.283216,0.369687
